id,relativeReadability,lexicalDiversity,topTopicSimilarity,syllableRate,PRP$,VBG,VBD,VBN,VBP,WDT,JJ,WP,VBZ,DT,NN,TO,PRP,RB,NNS,NNP,VB,WRB,CC,CD,EX,IN,WP$,MD,JJS,JJR,``,'',,topic-0,topic-1,topic-2,topic-3,topic-4,topic-5,topic-6,topic-7,topic-8,topic-9,topic-10,topic-11,topic-12,topic-13,topic-14,topic-15,topic-16,topic-17,topic-18,topic-19,topic-20,topic-21,topic-22,topic-23,topic-24,topic-25,topic-26,topic-27,topic-28,topic-29,heat
-1BnXEwHUok-0,1.152210680937438,0.5288888888888889,0.13333333333333333,2.892,0.009,0.027,0.031,0.022,0.058,0,0.067,0.004,0.013,0.098,0.116,0.036,0.08,0.04,0.04,0.102,0.049,0,0.036,0.009,0,0.12,0,0.018,0.004,0,0.004,0.004,0,0.44881723848644,5,5,5,5,5,5,5,0.21371465676651977,5,5,5,5,5,5,0.30417584929734265,5,5,5,5,5,5,5,5,5,5,5,0.37581159616068704,5,5,0.1
-1BnXEwHUok-90,0.9886177156813102,0.46875,0.1,2.225,0,0.021,0.005,0.01,0.047,0.01,0.052,0.01,0.057,0.12,0.167,0.036,0.089,0.094,0.021,0.005,0.042,0.005,0.052,0.016,0,0.104,0,0.021,0,0,0,0,0.01,5,5,5,5,5,5,5,5,5,0.8867018577669955,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.8906386170236836,0.5473436022180099,5,0.356
-1BnXEwHUok-180,1.0016178790824077,0.4873096446700508,0.16666666666666666,2.375,0.01,0.015,0.03,0.01,0.041,0.005,0.066,0.005,0.046,0.096,0.127,0.041,0.071,0.076,0.041,0.02,0.056,0.01,0.041,0.015,0,0.127,0,0.02,0.01,0.005,0,0,0.01,5,5,5,0.5352895003697711,5,5,5,5,5,0.8935695056497714,5,5,5,5,5,5,5,5,5,5,0.8639346782613043,5,5,5,5,5,5,0.4239943009424238,0.8653124360793608,5,0.796
-1BnXEwHUok-270,1.0720042864730441,0.46017699115044247,0.1,2.625,0,0.004,0.044,0,0.035,0.009,0.071,0.009,0.049,0.115,0.088,0.013,0.111,0.088,0.053,0.071,0.062,0.013,0.031,0.013,0,0.071,0,0.022,0,0,0.004,0.004,0,0.7658266593287589,0.8625373434759949,5,5,5,5,5,0.6091386743171291,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.456
-1BnXEwHUok-360,0.9122153126884381,0.4860335195530726,0.12,2.133,0,0.017,0.006,0.006,0.061,0,0.056,0.028,0.061,0.095,0.123,0.011,0.089,0.123,0.028,0.011,0.045,0,0.061,0.039,0.006,0.084,0,0.017,0,0,0,0,0.017,5,5,5,5,5,5,5,5,5,5,5,5,0.424039330441431,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.5793922050609855,0.44362186538129383,5,0.1
-1BnXEwHUok-450,0.9676055286253562,0.48258706467661694,0.2,2.383,0,0.025,0.025,0.02,0.065,0.01,0.05,0.02,0.06,0.119,0.109,0.025,0.129,0.055,0.02,0.02,0.06,0.01,0.03,0.03,0.005,0.08,0,0.03,0,0,0,0,0,0.5638344078672313,5,0.9270205709450735,5,5,5,5,0.5693632997168777,5,0.563490171615596,5,5,5,5,5,5,5,5,5,5,5,5,0.4343273726221086,5,0.5555410349966359,5,5,5,5,5,0.147
-1BnXEwHUok-540,0.886493920816944,0.5,0.1724137931034483,2.3,0.005,0.025,0.01,0.01,0.045,0.005,0.071,0.01,0.066,0.111,0.136,0.015,0.126,0.061,0.02,0.02,0.056,0.01,0.045,0.01,0,0.101,0,0.025,0,0,0,0,0.005,5,5,0.5744723731709945,5,5,5,5,5,5,0.5744723731709945,5,5,5,0.3323793466514369,5,5,5,5,5,5,5,5,5,0.8871817087386327,5,5,5,5,5,0.9189748231314984,0.144
-1BnXEwHUok-630,0.9485652672283925,0.4425287356321839,0.4,1.867,0.006,0.029,0,0.006,0.069,0.023,0.046,0.011,0.034,0.092,0.08,0.011,0.098,0.052,0.04,0.029,0.052,0.023,0.04,0.086,0,0.115,0,0.029,0.006,0,0,0,0,5,0.4449115123372585,0.571547747719049,0.8934019961668931,5,5,5,5,5,0.921157925802349,0.5782740203722678,5,5,5,0.5773750569472988,5,0.5727255119046207,5,0.5481903951732419,5,5,5,5,5,5,5,5,5,5,5,0.225
-1BnXEwHUok-720,1.0493900055933334,0.5213270142180095,0.1724137931034483,2.3,0,0.009,0.024,0,0.038,0,0.076,0,0.033,0.095,0.09,0.019,0.071,0.081,0.043,0.014,0.028,0.014,0.033,0.123,0,0.137,0,0.014,0,0,0,0,0.005,5,0.42876796358162445,0.37595075290321733,5,5,5,5,5,5,5,5,5,5,5,0.9212929653157912,5,0.43557516725123363,5,5,5,5,5,5,5,5,5,5,5,0.9251454400840687,5,0.509
-1BnXEwHUok-810,1.0403957812981441,0.4752475247524752,0.23333333333333334,2.433,0,0.04,0.01,0,0.04,0.01,0.045,0.005,0.074,0.139,0.149,0.045,0.059,0.054,0.025,0.025,0.04,0.005,0.025,0.054,0.01,0.119,0,0.005,0,0,0,0,0.015,5,0.33265186845730643,0.5310168886395816,5,5,5,5,5,5,5,0.3666949756600717,5,5,5,5,5,0.5373416229431034,5,5,5,5,5,5,0.5216319099190163,5,5,5,5,0.8989833221412427,0.8911602315713893,0.482
-1BnXEwHUok-900,1.0611214301800942,0.42441860465116277,0.2608695652173913,2.108,0,0.023,0,0,0.029,0,0.052,0.006,0.064,0.157,0.105,0.023,0.093,0.041,0.047,0.029,0.058,0.012,0.023,0.041,0,0.134,0,0.035,0,0.012,0,0,0,5,0.24628672624637954,5,5,5,5,5,5,5,0.5521167382423435,0.4092202326612262,5,5,5,5,5,5,5,5,5,0.8485413150085296,5,5,0.7352065422059427,5,5,5,5,5,0.8485413150085296,0.219
-1BnXEwHUok-990,1.081357953497825,0.4788732394366197,0.16666666666666666,2.6,0.005,0.019,0.033,0.005,0.047,0,0.108,0,0.019,0.141,0.113,0,0.052,0.047,0.042,0.047,0.023,0.019,0.028,0.061,0,0.164,0,0.005,0,0,0,0,0.014,5,0.4102967840442521,5,0.8883059290963761,5,5,5,5,5,5,0.463035243470657,5,5,5,0.29104301253482157,5,5,5,5,5,5,5,5,5,5,0.8539637599116063,5,5,5,5,0.1
-1BnXEwHUok-1080,1.0141325463474422,0.45054945054945056,0.24,2.175,0,0.044,0,0.005,0.038,0.016,0.033,0.011,0.06,0.104,0.093,0.005,0.099,0.06,0.027,0.044,0.027,0.011,0.016,0.071,0.005,0.187,0,0.027,0.005,0.005,0,0,0,5,0.3024720653135028,5,5,5,5,5,5,5,0.8608338466895692,5,5,5,5,5,5,5,0.9112192870761866,5,5,0.9084867378395075,5,5,0.9342008030018202,5,5,5,5,5,0.5794212782405879,0.415
-1BnXEwHUok-1170,0.9440331795580973,0.5073891625615764,0.36666666666666664,2.242,0.005,0.039,0,0.01,0.064,0,0.034,0.01,0.034,0.094,0.118,0.059,0.094,0.089,0.044,0.015,0.074,0,0.03,0.044,0,0.094,0,0.01,0,0.005,0,0,0.02,5,0.883263828785784,0.9156716477772178,5,0.4412021739564293,5,5,5,5,0.5707838863053503,0.849162481307926,0.9074049480579037,0.8317414141587046,5,5,5,5,5,5,5,0.9035704409087265,5,0.5534494506754781,0.9097479931097615,5,5,5,5,5,0.9074049480579037,0.663
-1BnXEwHUok-1260,0.9055569673366292,0.4847161572052402,0.27586206896551724,2.425,0,0.035,0.013,0.004,0.048,0.022,0.017,0.004,0.044,0.127,0.131,0.039,0.092,0.083,0.031,0.004,0.074,0.004,0.031,0.035,0.004,0.083,0,0.035,0,0,0,0,0.031,5,5,0.32671263722678984,5,0.9228683471537761,5,5,5,5,0.5513799788732364,5,0.3212763591209541,5,5,5,5,5,5,5,5,5,0.5491599265667526,5,0.8588730422688885,0.8588730422688885,5,5,5,5,0.5340834788509731,0.703
-1BnXEwHUok-1350,0.9880592374937843,0.42245989304812837,0.4666666666666667,2.192,0,0.021,0.027,0.027,0.075,0.011,0.043,0.005,0.027,0.112,0.091,0.032,0.102,0.059,0.032,0.032,0.053,0.021,0.032,0.011,0.016,0.118,0,0.021,0.005,0,0,0,0.005,5,0.3014354053186254,0.8780593296869252,5,0.8873671046502798,5,5,5,5,5,5,0.8410255025771894,5,0.5674706323844725,5,5,5,5,0.9314728460278777,5,5,5,0.9147003607758099,5,5,5,5,5,5,5,0.607
-1BnXEwHUok-1440,0.9895254581321248,0.4939759036144578,0.12,2.008,0.006,0.018,0.012,0.018,0.066,0.024,0.054,0.018,0.066,0.108,0.145,0.018,0.072,0.072,0.03,0.024,0.072,0.012,0.012,0.018,0.006,0.096,0,0.018,0.006,0,0,0,0.006,5,5,0.32964984437520833,5,5,5,5,5,5,5,5,5,5,0.37314992193852453,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.8749852755668713,5,0.89
-1BnXEwHUok-1530,0.8620707944976255,0.4426877470355731,0.25925925925925924,2.708,0.004,0.012,0.012,0.008,0.079,0,0.063,0.028,0.051,0.067,0.103,0.036,0.154,0.087,0.012,0.012,0.091,0.012,0.032,0.016,0.004,0.087,0,0.024,0,0.008,0,0,0,5,5,0.3420945275823723,5,5,5,5,5,5,0.8958835501937824,5,5,0.9105406905178424,0.5614399825635975,5,5,5,5,5,5,0.9152576258471583,5,5,5,5,0.8958835501937824,5,5,5,0.9204307632750475,0.579
-1BnXEwHUok-1620,1.1072721858737034,0.4797687861271676,0.2692307692307692,2.033,0,0.012,0.046,0.006,0.017,0,0.058,0.029,0.081,0.133,0.127,0.023,0.081,0.058,0.023,0.023,0.046,0.017,0.029,0.087,0,0.081,0,0,0,0,0,0,0,5,0.31061570457418,5,5,0.8143934540583527,5,5,5,5,0.9195982507828838,5,0.556815542120166,0.5374446217961087,5,5,5,5,5,0.7991891435679525,5,5,5,5,5,5,5,5,5,5,0.9306193052271681,0.47
-1BnXEwHUok-1710,1.0222364460484454,0.4578313253012048,0.4117647058823529,1.908,0.018,0.012,0.018,0.024,0.048,0,0.036,0.012,0.03,0.096,0.114,0.024,0.114,0.114,0.012,0.006,0.072,0.012,0.048,0.042,0,0.09,0,0.024,0,0.006,0,0,0,5,0.38808929749605003,0.8116294150023665,5,0.5570891757234555,5,5,5,5,5,0.3660201056797257,0.5440589843634416,5,5,5,5,5,5,5,5,5,5,0.8182873716729704,0.4398093372825551,5,5,5,5,5,5,0.224
-1BnXEwHUok-1800,0.9735776929769894,0.47465437788018433,0.3333333333333333,2.558,0.005,0.018,0.014,0.014,0.046,0.005,0.06,0.018,0.046,0.134,0.129,0.028,0.092,0.083,0.023,0.028,0.06,0.014,0.014,0.018,0.009,0.092,0,0.028,0.005,0,0,0,0.005,5,0.35871608910613867,5,0.5670383528435784,0.42047020221457604,0.4280821015587599,5,5,5,5,0.8255882321693658,0.8622614301011987,0.8950639714736236,5,5,5,5,0.5289139831367935,5,5,5,5,5,0.8622614301011987,5,5,0.905792177161741,5,5,5,0.424
-1BnXEwHUok-1890,0.9830560322426326,0.47802197802197804,0.23333333333333334,2.167,0,0.022,0.016,0.005,0.038,0,0.055,0.022,0.06,0.132,0.143,0.016,0.093,0.044,0.055,0.011,0.038,0.005,0.038,0.049,0.005,0.11,0,0.011,0.005,0.016,0,0,0,5,0.5382744845884061,0.3683508940584896,0.4250434354929962,5,0.47976442347375203,5,5,5,5,5,5,0.8933337217743412,5,5,5,5,5,0.9081249387701384,5,0.9081249387701384,5,5,5,5,5,5,5,5,5,0.526
-1BnXEwHUok-1980,0.9221840387455674,0.4611872146118721,0.3,2.392,0,0.014,0.005,0.005,0.023,0,0.055,0,0.027,0.123,0.16,0.009,0.059,0.041,0.068,0.014,0.032,0,0.05,0.05,0,0.219,0,0.027,0,0.005,0,0,0.014,5,5,0.20646814485277407,0.29571396148889245,5,0.366235150209496,0.5835305678893827,5,5,5,5,0.367394423267311,5,0.9023019383673772,5,5,0.5257490776716905,5,5,5,5,5,0.8762639693108428,5,5,5,0.4212607749065261,5,5,5,0.291
-1BnXEwHUok-2070,1.0378913561758087,0.47333333333333333,0.25925925925925924,1.875,0,0.013,0.027,0.047,0.047,0.02,0.067,0.007,0.06,0.107,0.107,0.007,0.113,0.093,0.033,0.007,0.027,0.013,0.033,0.053,0,0.08,0,0.02,0,0,0,0,0,5,0.3398397358380469,0.5792806767503005,0.45437340944216476,5,0.9008572697950943,5,5,5,5,5,0.9276062124773771,0.9239764813349031,5,5,5,5,0.36726525967570767,5,5,5,5,5,5,5,5,5,5,5,5,0.133
-1BnXEwHUok-2160,0.9785040972477584,0.5053763440860215,0.3103448275862069,2.192,0.005,0.022,0.027,0,0.043,0,0.075,0,0.038,0.145,0.156,0.016,0.059,0.048,0.054,0.005,0.032,0.016,0.043,0.075,0.005,0.091,0,0.011,0,0.005,0,0,0.022,5,0.8908445356429718,0.4439645969145302,0.32306487790030963,0.41403727369568566,0.2847958148711516,5,5,5,5,5,5,5,5,5,5,5,0.8438161876098776,0.908688883666105,5,0.8986877378505878,5,5,5,5,0.5545143181596393,5,5,5,5,0.224
-1BnXEwHUok-2250,0.984839260778851,0.43902439024390244,0.26666666666666666,1.8,0,0.024,0.012,0,0.055,0.012,0.067,0.012,0.067,0.091,0.104,0.037,0.085,0.073,0.018,0.006,0.067,0.018,0.049,0.043,0.006,0.122,0,0.018,0,0,0,0,0,5,0.9219248103854818,5,0.5631280285822934,0.912370454049945,5,5,5,5,0.9003880090518968,5,5,5,5,5,5,5,5,5,5,0.5613235836749233,5,0.44422749409867107,0.8621702966474092,5,5,5,5,0.8855187628068568,5,0.34
-1BnXEwHUok-2340,1.0478914439468627,0.5588235294117647,0.3333333333333333,2.05,0,0.029,0.018,0,0.053,0,0.065,0,0.041,0.082,0.088,0.035,0.094,0.065,0.035,0.106,0.047,0.012,0.041,0.059,0.006,0.082,0,0.012,0,0.006,0,0,0.012,0.13883208270180394,0.922252650959279,5,5,0.45075889664776936,0.9312153885531438,5,0.20173412469013943,5,5,5,5,0.573576317862823,5,5,5,5,5,0.453949998979377,5,0.5784141712837829,5,5,5,0.2279201659501515,0.9196129627589449,5,5,5,5,0.463
-1BnXEwHUok-2430,0.9589903559905265,0.4727272727272727,0.16666666666666666,2.55,0.005,0.005,0.014,0,0.059,0.005,0.064,0,0.036,0.105,0.086,0.018,0.1,0.091,0.036,0.05,0.068,0.014,0.027,0.041,0,0.118,0,0.045,0,0,0,0,0,5,5,5,5,5,0.4348912372998412,0.31154725887351475,0.6203181407676474,5,5,5,5,5,5,5,5,5,5,0.9097770494166809,5,0.9058876014599943,5,5,5,5,5,5,5,5,5,0.124
-1BnXEwHUok-2520,1.0022082327527821,0.49044585987261147,0.3333333333333333,1.725,0.013,0,0.013,0.032,0.089,0.006,0.051,0,0.025,0.057,0.038,0.013,0.134,0.076,0.051,0.108,0.07,0.019,0.019,0.045,0.006,0.089,0,0.032,0,0,0,0,0.006,0.21867491627581093,0.5774198228317869,5,0.580357706622669,5,0.43918000615450176,0.3927550869785531,0.5964590353814974,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.157
-1BnXEwHUok-2610,1.058477888394681,0.453125,0.3,2.267,0,0.026,0.047,0.016,0.026,0.005,0.057,0.026,0.031,0.13,0.115,0.026,0.062,0.099,0.062,0.016,0.042,0.005,0.052,0.021,0,0.104,0,0.01,0,0,0,0,0.01,5,0.5516821294068314,5,0.8904710140457602,0.5409070249343053,0.8820751742158299,0.3527817573079055,5,5,0.5321691138710526,5,5,5,5,5,5,5,5,5,0.5178203666062515,0.8273964804827841,5,5,5,5,5,0.3295562560713835,5,5,5,0.112
-1BnXEwHUok-2700,1.0328843775063425,0.4573643410852713,0.3157894736842105,1.658,0,0.031,0.008,0.023,0.054,0.008,0.039,0.016,0.039,0.078,0.101,0.039,0.085,0.147,0.039,0.008,0.07,0.008,0.054,0.023,0,0.085,0,0.023,0,0,0,0,0,5,0.8986653923842695,5,5,0.8786007774029794,0.5810063508820936,5,5,5,5,5,5,5,5,5,5,5,5,5,0.5485566218171054,5,5,0.5578929114124938,5,5,5,0.5578929114124938,5,5,5,0.178
-1BnXEwHUok-2790,1.0852302173220298,0.4602272727272727,0.16666666666666666,2.225,0.006,0,0.006,0.011,0.057,0.017,0.08,0.011,0.074,0.108,0.119,0.04,0.119,0.04,0.051,0.017,0.045,0.045,0.017,0,0,0.114,0,0.006,0.006,0,0,0,0,5,5,5,5,0.43734461875783276,5,5,5,5,5,5,5,0.7444307277427035,5,5,5,0.37137899740501157,5,5,0.31345818596186864,5,5,5,5,5,0.569074695986148,5,5,5,5,0.246
-1BnXEwHUok-2880,1.0115802261163849,0.4786729857819905,0.23333333333333334,2.625,0,0.009,0.043,0.014,0.052,0.009,0.076,0.009,0.009,0.09,0.109,0.047,0.109,0.066,0.062,0.009,0.066,0.009,0.028,0.009,0,0.128,0,0.024,0,0,0.005,0.005,0.005,5,5,5,0.5397864333231326,0.36187146130479736,0.4178262578703851,5,5,5,5,5,5,0.5473533906323478,5,5,5,5,5,0.5624677197469902,0.3543677883411201,5,5,5,5,5,0.9146712591109737,5,5,5,5,0.231
-1BnXEwHUok-2970,0.8845120626924634,0.47368421052631576,0.4,0.208,0,0.053,0,0,0,0,0,0,0,0.158,0.158,0,0.105,0.053,0.053,0,0.105,0,0.105,0,0,0.158,0,0.053,0,0,0,0,0,5,5,5,5,0.8718416752329483,5,5,5,5,5,5,5,5,0.8431394748439405,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.197